locality_id;lat_wgs84;lon_wgs84;drevina;GapFraction;Openness
Plaste_01;49.9903622;14.5606486;Picea abies;4.97;4.97
Plaste_02;49.9904006;14.5607531;Abies alba;5.08;5.05
Plaste_03;49.9903006;14.5606928;Picea abies;3.75;3.75
Plaste_04;49.9904147;14.5608486;Picea abies;2.86;2.87
Plaste_05;49.9903861;14.5607856;Abies alba;5.21;5.25
Plaste_06;49.9905192;14.5609167;Abies alba;4.49;4.49
Plaste_07;49.9905428;14.5606286;Abies alba;6.55;6.51
Plaste_08;49.9904614;14.5606642;Picea abies;4.99;4.97
Plaste_09;49.9904111;14.5609981;Picea abies;4.45;4.48
Plaste_10;49.9904083;14.560995;Abies alba;2.59;2.59
Plaste_11;49.9903917;14.5611358;Abies alba;3.5;3.49
Plaste_12;49.9903706;14.5611967;Pseudotsuga menziesii;4.54;4.56
Plaste_13;49.9903864;14.5611478;Pseudotsuga menziesii;4.76;4.79
Plaste_14;49.9903353;14.5611097;Picea abies;4.35;4.33
Plaste_15;49.9903772;14.56046;Abies grandis;5.93;5.9
Plaste_16;49.9903289;14.5604814;Abies grandis;3.47;3.45
Plaste_17;49.9904392;14.5603417;Abies grandis;4.57;4.54
Plaste_18;49.9904303;14.5601261;Pseudotsuga menziesii;4.8;4.82
Plaste_19;49.9905608;14.5598039;Pseudotsuga menziesii;6.7;6.71
Plaste_20;49.9906247;14.5595853;Abies grandis;5.54;5.54
Plaste_21;49.9906311;14.5595131;Abies grandis;4.75;4.73
Plaste_22;49.9906386;14.5596958;Abies grandis;5.09;5.06
Plaste_23;49.9907672;14.5595039;Abies grandis;5.99;5.97
Plaste_24;49.9907344;14.5595872;Picea abies;5.05;4.99
Plaste_25;49.9907494;14.5595053;Pseudotsuga menziesii;6.02;5.96
Plaste_26;49.9908769;14.5594444;Abies grandis;7.22;7.13
Plaste_27;49.9908828;14.5594717;Picea abies;5.76;5.74
Plaste_28;49.9909125;14.5593128;Pseudotsuga menziesii;5.19;5.13
Plaste_29;49.9908878;14.5593808;Pseudotsuga menziesii;7.04;6.95
Plaste_30;49.9905206;14.559825;Pseudotsuga menziesii;6.23;6.27
Plaste_31;49.9904811;14.5602778;Abies alba;4.67;4.65
Plaste_32;49.9904764;14.5604986;Abies alba;4.97;5
Plaste_33;49.9908542;14.5592167;Kontrola;35.46;35.72
Plaste_34;49.9903281;14.5597622;Kontrola;16.77;17.07
Plaste_35;49.9901978;14.5609072;Kontrola;30.7;31.16
Plaste_36;49.9901681;14.5612036;Kontrola;10.57;10.77
Plaste_37;49.9899267;14.5607986;Kontrola;36.36;36.45
Plaste_38;49.9899044;14.5609081;Kontrola;46.66;46.74
Plaste_39;49.9900469;14.5611844;Kontrola;58.2;58.24
Plaste_40;49.9901103;14.5613497;Kontrola;59.95;60.05
